Zone Name,Date,moonPhase,precipIntensity,precipIntensityMax,precipProbability,temperatureHigh,temperatureLow,apparentTemperatureHigh,apparentTemperatureLow,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone,temperatureMin,temperatureMax,apparentTemperatureMin,apparentTemperatureMax,Patients Admitted,quartile,class
DMC,8/27/2019,0.89,0.0001,0.0006,0.13,94.5,79.77,111.09,89.8,78.28,0.77,1002.5,9,19.15,152,0.41,10,10,270,77.93,94.5,81.85,111.09,196,4,2
DMC,8/28/2019,0.93,0.0098,0.0527,0.55,93.75,79.9,112.7,89.78,79.16,0.8,1003.6,8.34,17.39,141,0.7,8,10,270.6,79.77,93.75,89.8,112.7,163,4,2
DMC,8/29/2019,0.97,0.0011,0.0082,0.31,94.85,79.23,109.18,86.45,77.94,0.75,1003.9,7.57,13.88,147,0.67,9,10,272.3,79.9,94.85,89.78,109.18,163,4,2
DMC,8/30/2019,0.01,0.0002,0.0013,0.14,95.81,79.81,108.19,89.68,78.05,0.74,1001.8,4.12,10.82,177,0.81,6,10,270,79.23,95.81,86.45,108.19,109,4,2
DMC,8/31/2019,0.05,0.0039,0.0165,0.4,94.13,80.25,113.75,90.02,79.8,0.79,1000.7,4.04,8.65,122,0.96,6,10,266.9,79.71,94.13,89.27,113.75,113,4,2
DMC,09-01-19,0.09,0.0065,0.0363,0.57,93.04,79.8,110.19,89,78.75,0.77,1001.1,6.05,18.92,154,0.98,5,9.953,266.1,80.25,93.04,90.02,110.19,148,4,2
DMC,09-02-19,0.12,0.0107,0.0423,0.59,94.02,79.46,110.01,86.65,78.6,0.78,1001.3,6.58,19.54,144,0.91,7,10,267,79.8,94.02,89,110.01,140,4,2
DMC,09-03-19,0.16,0.0052,0.0414,0.51,93.54,79.41,109.17,86.25,78.66,0.8,1001,9.63,21.88,121,0.95,6,9.721,268.2,79.46,93.54,86.65,109.17,128,4,2
DMC,09-04-19,0.2,0.0002,0.0011,0.2,92.81,79.7,110.05,89.73,78.34,0.78,1001.3,10.22,17.85,123,0.99,5,10,265.5,79.41,92.81,86.25,110.05,96,4,2
DMC,09-05-19,0.23,0.003,0.0082,0.45,92.89,79.46,110.18,87.19,79.12,0.82,1001.3,9.98,22.13,131,0.78,6,9.931,263.2,79.7,92.89,89.73,110.18,96,4,2
DMC,09-06-19,0.27,0.0042,0.0168,0.47,93.07,78.37,109.04,83.32,78.59,0.8,1000.4,11.55,22.56,130,0.87,6,10,262.5,79.46,93.07,87.19,109.04,118,4,2
DMC,09-07-19,0.3,0.0175,0.0918,0.83,90.28,78.04,109.01,82.42,79.33,0.86,1000.9,13.94,25.08,129,0.76,9,9.579,260.5,78.37,90.28,83.32,109.01,68,4,2
DMC,09-08-19,0.33,0.0214,0.0595,0.86,89.82,79.21,109.57,86.52,80,0.89,1002.5,12.01,23.86,140,0.66,7,10,261.6,78.05,89.82,82.47,109.57,105,4,2
DMC,09-09-19,0.36,0.0274,0.118,0.92,91.29,79.75,111.35,87.49,80.25,0.88,1001.8,8.99,18.95,170,0.98,6,9.932,256,79.21,91.29,86.52,111.35,136,4,2
DMC,09-10-19,0.39,0.0058,0.0143,0.78,91.75,78.15,110.13,82.71,80.13,0.85,1002.4,8.7,19.46,164,0.84,8,10,260,80.64,91.75,90.31,110.13,128,4,2
DMC,09-11-19,0.42,0.0036,0.0101,0.75,90.8,78.39,109.11,83.53,79.29,0.87,1003.6,9.29,19.4,135,0.99,5,9.995,260.8,78.15,90.8,82.71,109.11,79,4,2
DMC,09-12-19,0.45,0.0775,0.2561,0.99,84.06,76.5,98.04,78.88,79.18,0.95,1005.9,12.65,24.89,161,0.99,5,6.269,259.6,78.39,84.06,83.53,98.04,84,4,2
DMC,9/13/2019,0.48,0.0129,0.0434,0.83,86.71,78.84,101.78,84.73,78.35,0.91,1008.1,9.8,18.15,163,0.99,5,9.65,257.1,76.5,86.71,78.88,101.78,63,4,2
DMC,9/14/2019,0.51,0.0055,0.0339,0.49,89.97,78.72,106.58,84.62,79.14,0.87,1007.2,8,15.9,165,0.94,5,10,260.9,78.84,89.97,84.73,106.58,56,4,2
DMC,9/15/2019,0.54,0.0115,0.0441,0.72,93.55,79.32,109.3,86.44,78.79,0.8,1005.7,7.34,18.48,180,0.92,6,9.93,258.8,78.72,93.55,84.62,109.3,56,4,2
DMC,9/16/2019,0.57,0.0209,0.1298,0.9,93,77.99,107.13,82,78.03,0.79,1005.2,6.5,14.01,179,0.86,7,9.702,261.3,79.32,93,86.44,107.13,71,4,2
DMC,9/17/2019,0.61,0.0046,0.0548,0.71,94.26,78.07,104.98,82.1,76.34,0.74,1006.5,5.03,8.45,156,0.72,6,10,264,78.74,94.26,83.95,104.98,90,4,2
DMC,9/18/2019,0.64,0.0036,0.0294,0.38,93.81,79.23,107.88,85.37,76.97,0.74,1008.5,3.47,9.23,108,0.26,11,10,262.1,77.94,93.81,81.74,107.88,70,4,2
DMC,9/19/2019,0.67,0.0003,0.0011,0.08,96.31,79.37,109.64,85.36,76.18,0.7,1008.9,2.93,7.8,288,0.17,11,10,261.5,79.23,96.31,85.37,109.64,58,4,2
DMC,9/20/2019,0.7,0.0009,0.0056,0.21,95,79.38,107.35,86.59,76.8,0.73,1008,3.39,10.3,286,0.61,6,10,261.4,79.37,95,85.36,107.35,73,4,2
DMC,9/21/2019,0.73,0.0098,0.0774,0.53,92.27,78.97,111.67,84.95,78.34,0.79,1007.3,4.66,8.01,173,0.69,10,9.9,260.5,79.33,92.27,86.5,111.67,52,4,2
DMC,9/22/2019,0.77,0.0056,0.0258,0.65,92.28,76.44,105.63,78.66,77.48,0.79,1008.9,4.49,8.02,120,0.97,6,9.971,264.7,78.97,92.28,84.95,105.63,54,4,2
DMC,9/23/2019,0.8,0.0079,0.042,0.77,89.92,76.4,101.4,78.74,76.2,0.82,1011.3,5.6,9.52,107,0.92,5,10,265.7,76.36,89.92,78.39,101.4,53,4,2
DMC,9/24/2019,0.84,0.0319,0.1414,0.89,83.73,74.74,94.23,76.96,75.48,0.88,1012.4,6.93,16.77,120,0.99,5,10,265.5,76.4,83.73,78.34,94.23,59,4,2
DMC,9/27/2019,0.95,0.0015,0.0083,0.38,87.73,74.69,99.19,76.91,74.59,0.82,1014.3,6.05,12.38,322,0.97,5,10,269.6,73.77,87.73,75.98,99.19,26,4,2
DMC,9/28/2019,0.99,0.0044,0.0183,0.83,86.62,73.51,98.2,75.83,74.75,0.84,1013,4.31,10.19,14,0.99,5,9.502,262.3,74.69,86.62,76.91,98.2,36,4,2
DMC,9/29/2019,0.03,0.035,0.1029,0.99,77.27,73.22,78.91,75.55,74.6,0.95,1013.7,4.65,12.4,20,0.97,5,8.857,255.7,73.51,77.76,75.83,78.91,38,4,2
